Sno,Customer_ID,Product_ID,Return_Type,Amount,Difference_days,Rating
473,9236106,X1165KL01,0,239,4,2.9
474,9236108,X1165KL01,0,338,3,2.9
475,9236168,X-6015,0,682,4,3.2
476,9236079,X-2290,0,569,2,3
477,9236194,C041,0,279,2,2
478,9236077,X-2261,0,376,4,2
479,9236124,C029,1,371,5,1.9
480,9236113,X-2116,0,260,3,2.9
481,9236062,XDD-7065,1,331,2,3.8
482,9236033,C007,1,609,2,3.2
483,9236141,X-6019,0,371,2,3.8
484,9236189,XDD-7031,0,371,4,2.1
485,9236184,XDD-7072,0,531,2,4.6
486,9236032,HMTG-G9016,0,302,1,2.5
487,9236188,XDD-7018,0,698,4,4.5
488,9236110,HMTS-B9022,0,260,3,1.5
489,9236182,HMTG-G9011,1,589,3,2.6
490,9236132,X-3003,1,0,0,2.8
491,9236132,XDD-7013,0,300,3,2.1
492,9236032,X-6009,0,319,3,4.8
493,9236115,X-6010,1,319,2,4.4
494,9236132,HM-GG9008,1,1038,6,3.6
495,9236048,X-1121,0,300,2,2.3
496,9236175,X-2266,0,300,3,3.6
497,9236066,XDD-7075,0,371,3,4
498,9236071,X-6006,1,531,2,3.8
499,9236046,X-6011,0,341,10,4
500,9236155,HM-GB9006,0,329,3,4.2
501,9236188,X-1116SL01,0,304,3,2
502,9236136,X6001,0,239,3,2.7
503,9236025,XDD-7036,0,371,4,4.7
504,9236085,HM-SB9002,0,305,3,2.2
505,9236119,HMTS-B9023,0,1149,4,2.1
506,9236145,HMTS-B9036,0,302,4,1.9
507,9236157,X-1121,0,300,2,2.3
508,9236081,X-2291,0,559,10,4.1
509,9236192,X-7053,0,1149,4,2
510,9236004,X-2286,0,651,2,1.9
511,9236020,X-2116,0,389,3,2.9
512,9236134,HMTS-B9035,0,314,3,4.6
513,9236121,HMTG-TT9019,0,322,3,4.7
514,9236064,X-2269,0,531,2,4
515,9236054,XDD-7081,0,260,2,3.2
516,9236110,HM-GS9005,0,689,6,4.7
517,9236170,C041,0,302,4,2
518,9236033,XDD-7052,0,300,3,1.6
519,9236106,X-2116,0,329,5,2.9
520,9236141,X-1116SL01,0,300,3,2
521,9236174,XDD-7081,0,381,17,3.2
522,9236057,XDD-7071,0,305,3,3.4
523,9236141,XDD-7013,0,239,3,2.1
524,9236099,X-2292,1,629,4,2.1
525,9236145,HMTS-S9021,0,260,2,2.7
526,9236103,XDD-7044,0,339,3,3.8
527,9236140,HMTS-S9021,0,662,4,2.7
528,9236157,HM-GG9013,0,239,4,2.8
529,9236036,X-6011,0,239,3,4
530,9236080,X2251,0,239,2,4.6
531,9236077,X-2257,0,569,3,2.8
532,9236055,X-6019,1,279,3,3.8
533,9236068,X-6004,0,300,5,2.6
534,9236023,AXE-1143NL01,0,531,2,2.3
535,9236113,X-3003,0,338,3,2.8
536,9236130,X-2277,0,269,4,2
537,9236146,HMTS-B9023,0,531,2,2.1
538,9236190,C041,1,289,6,2
539,9236060,XDD-7052,0,289,3,1.6
540,9236090,HMTB-TT9028,0,319,2,4.2
541,9236040,AXE-1143NL01,0,371,1,2.3
542,9236150,C022,0,239,4,4.1
543,9236159,XDD-1028,1,371,4,2.3
544,9236115,XDD-7032,0,336,4,1.9
545,9236160,X6001,1,239,1,2.7
546,9236180,X-1203,0,300,4,1.7
547,9236037,C022,0,239,4,4.1
548,9236117,XDD-1028,1,300,3,2.3
549,9236072,C041,0,260,3,2
550,9236085,HMTS-B9035,0,305,3,4.6
551,9236000,X-2287,0,239,4,2.1
552,9236139,AXE-1143NL01,0,249,2,2.3
553,9236046,XDD-7051,0,394,3,2.2
554,9236114,X2114SM01,0,300,2,2.7
555,9236145,HM-GG9013,1,199,4,2.8
556,9236135,XDD-7044,0,619,3,3.8
557,9236007,X1158MS-Black,0,279,3,2.5
558,9236124,X-2273,1,531,3,2.2
559,9236111,X-7053,0,300,4,2
560,9236028,XDD-7070,1,279,1,2.9
561,9236077,HM-GS9005,0,371,4,4.7
562,9236071,X-6055,1,300,3,3.5
563,9236164,XDD-7072,1,300,3,4.6
564,9236107,HM-GG9501,0,529,4,2.6
565,9236085,XDD-7034,0,300,4,3.1
566,9236165,XDD-7052,0,389,3,1.6
567,9236169,X-7003,0,609,3,3.6
568,9236120,HMTS-S9021,0,338,3,2.7
569,9236039,C029,1,300,1,1.9
570,9236052,X-6055,0,520,4,3.5
571,9236136,XDD-7034,0,256,5,3.1
572,9236015,X-2269,0,392,3,4
573,9236172,XDD-7013,1,319,2,2.1
574,9236031,HMTS-S9021,1,239,2,2.7
575,9236073,HMTS-S9020,0,364,2,4.7
576,9236030,X3503WWS,0,527,3,2.6
577,9236177,X-2257,0,260,5,2.8
578,9236036,X-6015,0,289,2,3.2
579,9236018,X-2291,0,371,2,4.1
580,9236021,XDD-7013,0,300,4,2.1
581,9236193,X-1201,0,286,2,2.2
582,9236123,XDD-7071,0,256,2,3.4
583,9236104,HMTS-B9036,0,249,5,1.9
584,9236162,X-3005,0,531,4,2.7
585,9236121,XDD-7072,0,495,2,4.6
586,9236065,HMTB-TT9028,1,339,1,4.2
587,9236115,HM-GB9006,0,260,4,4.2
588,9236055,XDD-7073,0,531,3,4.4
589,9236101,XDD-7019,0,239,4,4.5
590,9236134,X-3005,1,0,0,2.7
591,9236024,X-2231,0,314,4,2
592,9236025,X-6027,0,381,3,2
593,9236042,XDD-7071,0,239,3,3.4
594,9236105,X-3003,0,344,3,2.8
595,9236115,HM-GB9006,1,326,1,4.2
596,9236160,XDD-8005,1,300,3,2.6
